variant,description,base_gate,model_variant,active_source_events,overlap_removed_events,extra_events,extra_same_close_calendar_sum,extra_adverse10_calendar_sum,lead_same_close_calendar_sum,lead_adverse10_calendar_sum,combo_same_close_calendar_sum,combo_same_close_delta_vs_lead,combo_same_close_worst_sm,combo_same_close_neg_sm,combo_adverse10_calendar_sum,combo_adverse10_delta_vs_lead,combo_adverse10_worst_sm,combo_adverse10_neg_sm,combo_adverse10_trade_count
low_eff_rf_rank_median_000,"low-eff/low-ATR pool, hard keep events above train median probability",low_eff_low_atr_q20_q40,rf_rank_median_000,28,1,27,0.08434186751608386,0.05315479102571506,0.30217222209740113,0.2297164769930056,0.386514089613485,0.08434186751608386,-0.0016065873334752255,1,0.28287126801872065,0.05315479102571505,-0.004735625966695509,2,89
wide_rf_binary_000,"wide current-shape pool, hard keep probability >= 0.5",baseline_model_advance,rf_binary_000,60,3,57,0.12651749277052488,0.052374774715733714,0.30217222209740113,0.2297164769930056,0.42868971486792595,0.12651749277052482,-0.02827886014914378,1,0.28209125170873933,0.052374774715733735,-0.04227545390596756,2,119
wide_rf_rank_q70_000,"wide current-shape pool, hard keep events above train q70 probability",baseline_model_advance,rf_rank_q70_000,103,6,97,0.11538998977602545,-0.005619603250826152,0.30217222209740113,0.2297164769930056,0.41756221187342657,0.11538998977602544,-0.026200014050828523,1,0.22409687374217946,-0.005619603250826138,-0.04458890937037387,2,159
wide_rf_binary_025,"wide current-shape pool, keep rejected events at 25% size",baseline_model_advance,rf_binary_025,395,33,362,0.08713106483711036,-0.0868755509497797,0.30217222209740113,0.2297164769930056,0.38930328693451144,0.0871310648371103,-0.03757378191621104,2,0.1428409260432259,-0.0868755509497797,-0.06329005961925926,3,424
