gate,forward_months,trade_count,same_close_calendar_sum,same_close_worst_month,same_close_neg_months,adverse0_calendar_sum,adverse0_worst_month,adverse0_neg_months,adverse10_calendar_sum,adverse10_worst_month,adverse10_neg_months
low_eff_low_atr_q20_q40,7,38,0.09386224398042442,-0.01076100863840464,1,0.08876440447586167,-0.010768420533309382,2,0.04826868339007526,-0.01284041934192488,2
level_far_sma_gap_q60_q80,7,30,0.07453696807670658,8.94135773074907e-05,0,0.06912426943132566,-0.0002576872275515084,1,0.0425410356903424,-0.004824773251079688,2
low_rf_slope_up_q40_q60,7,56,0.09236106746142113,-0.0038762027364013076,2,0.08358628466351062,-0.005050129888743659,2,0.03797624346525249,-0.010931070820269454,3
low_eff_q20,7,80,0.1452740386172313,-0.0179852434474079,3,0.11187619633014756,-0.018192275337222133,3,0.030022471952363163,-0.024200070254889836,3
wick_late_q40,7,49,0.052498803397213974,-0.02079887641701318,2,0.0261045326378414,-0.020872070702437708,2,-0.027016895755643894,-0.02826405794166198,5
wick_touch_ext_le_0,7,93,0.03297271109048982,-0.026317650997355443,3,0.0029126170228402073,-0.02645542442544288,3,-0.09905033580410381,-0.03799946866151321,4
baseline_model_advance,7,345,0.016877240974289113,-0.08055893750273539,3,-0.07533129333247973,-0.08664758175336319,5,-0.4437833397898755,-0.1372398326607392,6
