gate,forward_months,trade_count,same_close_calendar_sum,same_close_worst_month,same_close_neg_months,adverse0_calendar_sum,adverse0_worst_month,adverse0_neg_months,adverse10_calendar_sum,adverse10_worst_month,adverse10_neg_months
low_eff_low_atr_q20_q40,8,42,0.12202530528704181,-0.01076100863840464,1,0.11679797952443416,-0.010768420533309382,2,0.0728541190426001,-0.01284041934192488,2
low_rf_slope_up_q40_q60,8,65,0.12342252885580918,-0.0036939851364014013,2,0.11374374692893012,-0.005002126914347257,2,0.0607568060664622,-0.011795202060498547,3
low_eff_q20,8,90,0.16655318231029426,-0.0120394143944939,4,0.13115017592448452,-0.013167966779394552,4,0.03988719571373661,-0.02280341932391166,4
level_far_sma_gap_q60_q80,8,36,0.06790886493724718,-0.007146018970166726,3,0.060991254349012786,-0.008065971293347705,4,0.02811140423594192,-0.012186736692902057,4
wick_late_q40,8,55,0.0581617903382277,-0.02079887641701318,2,0.03084875375593446,-0.020872070702437708,2,-0.027777523361349917,-0.02826405794166198,5
wick_touch_ext_le_0,8,102,0.04250460050391887,-0.026317650997355443,3,0.010898474478339311,-0.02645542442544288,3,-0.09947300749440402,-0.03799946866151321,5
baseline_model_advance,8,395,-0.013630576977154418,-0.08055893750273539,4,-0.11127485545670235,-0.08664758175336319,6,-0.5309452155356299,-0.1372398326607392,7
