variant,mode,bps,description,raw_events,quality_events,model_advance_events,d0_traded_events,avg_rf_probability,median_rf_probability,avg_position_size,dual_touch_same_second_skipped,same_close_calendar_sum,same_close_worst_sm,same_close_neg_sm,adverse10_calendar_sum,adverse10_worst_sm,adverse10_neg_sm,same_close_calendar_sum_direct,same_close_worst_sm_direct,same_close_neg_sm_direct
restrictive_0p5bps,restrictive,0.5,current production: prev2 must be separated by +0.5bps,1810,736,561,561,0.5780027173913043,0.54,0.7989347826086955,0,-0.3194414620066063,-0.11665488801998829,7,-1.029829044663411,-0.1817959112387492,10,-0.3194414620066063,-0.11665488801998829,7
strict_0bps,strict,0.0,original_t2 strict compare: prev2 > prev1 / prev2 < prev1,1844,745,569,569,0.5784832214765101,0.54,0.8006872483221475,0,-0.3326409564433796,-0.11665488801998829,8,-1.0524368052807391,-0.1817959112387492,10,-0.3326409564433796,-0.11665488801998829,8
near_equal_slack_0p25bps,slack,0.25,allow near-equal prev2 within 0.25bps of prev1,1864,751,574,574,0.5788082556591212,0.54,0.8016404793608524,0,-0.3384236141981885,-0.11665488801998829,8,-1.0637402593440652,-0.1817959112387492,10,-0.3384236141981885,-0.11665488801998829,8
near_equal_slack_0p5bps,slack,0.5,allow near-equal prev2 within 0.5bps of prev1,1885,752,575,575,0.578184840425532,0.54,0.8008085106382979,0,-0.3337288274830768,-0.11665488801998829,8,-1.058893385733672,-0.1817959112387492,10,-0.3337288274830768,-0.11665488801998829,8
near_equal_slack_1p0bps,slack,1.0,allow near-equal prev2 within 1.0bps of prev1,1906,755,578,578,0.5789933774834438,0.54,0.8025960264900662,0,-0.3407465946176048,-0.11665488801998829,7,-1.068915904650834,-0.1817959112387492,10,-0.3407465946176048,-0.11665488801998829,7
