variant,description,conditions,quality_events,model_advance_events,d0_traded_events,same_close_calendar_sum,same_close_worst_sm,same_close_neg_sm,same_close_pre_2026_sum,same_close_2026_sum,adverse0_calendar_sum,adverse0_worst_sm,adverse0_neg_sm,adverse10_calendar_sum,adverse10_worst_sm,adverse10_neg_sm
baseline_touch_entry,current production-shape D0 lens; no extra structure-quality gate,none,561,561,561,-0.3194414620066063,-0.11665488801998829,7,-0.4801743942278545,0.16073293222124824,-0.44277939377846587,-0.12238932419427084,9,-1.029829044663411,-0.1817959112387492,10
low_eff_le_q20,pre-touch 300s efficiency in the lowest 20% of model-advance events,eff_300s <= 0.769915,113,113,113,0.1066041447933761,-0.027861134978805744,7,-0.04596440605796202,0.15256855085133816,0.06999683839240003,-0.028757295455174196,7,-0.04453748142490706,-0.037509706244429515,7
low_eff_low_atr_pct,low 300s efficiency plus low 24h ATR percentile,eff_300s <= 0.769915 & signal_atr_percentile <= 0.291667,49,49,49,0.10947812801240484,-0.01076100863840464,2,0.004177974890044342,0.10530015312236049,0.10410036909527302,-0.010966721530426837,3,0.05338884374465093,-0.016782329336583204,4
low_rf_slope_up,lower RF probability but closed-bar SMA5 slope already positive,rf_probability <= 0.580000 & prev_sma5_slope_atr >= 0.047875,96,96,96,0.1225146368233752,-0.02484577342374073,3,0.0831322843596973,0.03938235246367788,0.11171490622316617,-0.025597353284279138,3,0.03366555941249764,-0.0343808700336529,4
level_far_sma_gap_up,breakout level far from signal open and previous close above SMA5 for the side,level_to_signal_open_atr >= 0.440024 & prev_sma5_gap_atr >= 0.348070,54,54,54,0.10356899963982318,-0.004367122408248155,3,0.06156732326235066,0.04200167637747253,0.09699169464646418,-0.0046665520695213,4,0.04770415447140712,-0.009074696158361515,5
wick_touch_ext_le_0,first touch is wick-led; touch-second close has not extended beyond the level,touch_extension_atr <= 0.000000,136,136,136,0.06160328940019381,-0.026317650997355443,4,0.004145437105874873,0.05745785229431893,0.028762038590354807,-0.02645542442544288,4,-0.11487296450719685,-0.03799946866151321,6
wick_late,wick-led first touch and not too early in the signal bar,touch_extension_atr <= 0.000000 & pre_touch_seconds >= 598.000000,80,80,80,0.049045311617137495,-0.02079887641701318,5,-0.004597341110676933,0.053642652727814426,0.020846240937487073,-0.020872070702437708,5,-0.060588009384671355,-0.02826405794166198,7
