gate,forward_months,forward_events,trade_count,same_close_calendar_sum,same_close_worst_month,same_close_neg_months,adverse10_calendar_sum,adverse10_worst_month,adverse10_neg_months
low_eff_low_atr_q20_q40,8,42,42,0.12202530528704181,-0.01076100863840464,1,0.0728541190426001,-0.01284041934192488,2
baseline_model_advance,8,395,395,-0.013630576977154418,-0.08055893750273539,4,-0.5309452155356299,-0.1372398326607392,7
