gate,forward_months,forward_events,trade_count,same_close_calendar_sum,same_close_worst_month,same_close_neg_months,adverse10_calendar_sum,adverse10_worst_month,adverse10_neg_months
low_eff_low_atr_q20_q40,3,17,17,-0.024603193869850357,-0.02055865863196335,2,-0.045446775140994974,-0.03543105414939438,2
baseline_model_advance,3,149,149,-0.20231108220020402,-0.08928264243002687,3,-0.39052384686613634,-0.16089213171146466,3
