gate,forward_months,forward_events,trade_count,same_close_calendar_sum,same_close_worst_month,same_close_neg_months,adverse10_calendar_sum,adverse10_worst_month,adverse10_neg_months
low_eff_low_atr_q20_q40,2,8,8,-0.022964776253429582,-0.018665651537500032,2,-0.031058387262624217,-0.025623262546694656,2
baseline_model_advance,2,88,88,-0.10200967961473789,-0.06796971585447786,2,-0.19894275241154852,-0.11485415249542968,2
