symbol,month,symbol_month,breakout_shape_name,side,symbol_side,entry_time,exit_time,entry_type,entry_reason,side_entry_reason,symbol_month_side,symbol_month_entry_reason,symbol_month_side_entry_reason,exit_reason,entry_price,exit_price,notional,pnl_pct,pnl_bps,pnl_value,pnl_initial_pct,hold_seconds,hold_bucket,mfe_pct,mae_pct,mfe_bps,mae_bps,mfe_300s_pct,mae_300s_pct,mfe_300s_bps,mae_300s_bps,mae_300s_bucket,outcome,signal_start,signal_bar_index,breakout_level,breakout_pre_touch_seconds,breakout_extension_atr,level_to_signal_open_atr,external_event_key,external_touch_time,external_shape_variant,external_context_combo_spec,external_context_model_status,timing_prediction,rf_probability,sizing_multiplier,cost_penalty,roundtrip_cost_atr,speed_300s_atr,eff_300s,touch_extension_atr,pre_touch_seconds,gross_pnl_initial_pct,round_trip_fee_initial_pct,gross_pnl_bps,round_trip_fee_bps
ETHUSDT,2025-06,ETHUSDT:2025-06,t3_swing,long,ETHUSDT:long,2025-06-02T07:04:05+00:00,2025-06-02T08:04:05+00:00,BUY,External-NextSecond-Adverse,long:External-NextSecond-Adverse,ETHUSDT:2025-06:long,ETHUSDT:2025-06:External-NextSecond-Adverse,ETHUSDT:2025-06:long:External-NextSecond-Adverse,SL,2503.000875,2507.943421582218,40000.0,0.197465,-0.253516,78.985935,-0.001014,3600.0,15-60m,0.438238,-0.119891,43.823779,-11.989109,0.118222,-0.067552,11.822153,-6.755157,5_to_10bps,loss,2025-06-02 07:00:00+00:00,31.0,2501.6,244.0,0.0079175260288515,0.3845896154011929,ETHUSDT|2025-06-02T07:00:00+00:00|2025-06-02T07:04:04+00:00|long,2025-06-02 07:04:04+00:00,,,,fast,0.645,1.29,1.0,0.1,0.3804547883393694,0.9873651771956856,0.0086419020100668,244.0,0.078986,0.08,19.746484,20.0
ETHUSDT,2025-06,ETHUSDT:2025-06,t3_swing,long,ETHUSDT:long,2025-06-02T08:50:34+00:00,2025-06-02T09:50:34+00:00,BUY,SL-Reentry,long:SL-Reentry,ETHUSDT:2025-06:long,ETHUSDT:2025-06:SL-Reentry,ETHUSDT:2025-06:long:SL-Reentry,SL,2497.7851098638416,2495.668255199566,39999.59437381959,-0.084749,-28.474927,-33.899365,-0.113898,3600.0,15-60m,-0.009812,-0.792106,-0.981152,-79.210617,-0.009812,-0.307673,-0.981152,-30.767307,gt20bps,loss,2025-06-02 07:00:00+00:00,31.0,2501.6,244.0,0.0079175260288515,0.3845896154011929,ETHUSDT|2025-06-02T07:00:00+00:00|2025-06-02T07:04:04+00:00|long,2025-06-02 07:04:04+00:00,,,,fast,0.645,1.29,1.0,0.1,0.3804547883393694,0.9873651771956856,0.0086419020100668,244.0,-0.033899,0.079999,-8.474927,20.0
ETHUSDT,2025-06,ETHUSDT:2025-06,t3_swing,long,ETHUSDT:long,2025-06-02T10:04:18+00:00,2025-06-02T11:04:18+00:00,BUY,SL-Reentry,long:SL-Reentry,ETHUSDT:2025-06:long,ETHUSDT:2025-06:SL-Reentry,ETHUSDT:2025-06:long:SL-Reentry,SL,2477.883095659716,2483.833176752269,39954.03495251454,0.240128,4.01276,95.940663,0.016033,3600.0,15-60m,0.480125,-0.059857,48.01249,-5.985728,0.480125,-0.059857,48.01249,-5.985728,5_to_10bps,win,2025-06-02 07:00:00+00:00,31.0,2501.6,244.0,0.0079175260288515,0.3845896154011929,ETHUSDT|2025-06-02T07:00:00+00:00|2025-06-02T07:04:04+00:00|long,2025-06-02 07:04:04+00:00,,,,fast,0.645,1.29,1.0,0.1,0.3804547883393694,0.9873651771956856,0.0086419020100668,244.0,0.095941,0.079908,24.01276,20.0
ETHUSDT,2025-06,ETHUSDT:2025-06,t3_swing,long,ETHUSDT:long,2025-06-02T11:08:01+00:00,2025-06-02T12:08:01+00:00,BUY,SL-Reentry,long:SL-Reentry,ETHUSDT:2025-06:long,ETHUSDT:2025-06:SL-Reentry,ETHUSDT:2025-06:long:SL-Reentry,SL,2479.242937988219,2482.6438867148886,39960.44798989912,0.137177,-6.28231,54.816506,-0.025104,3600.0,15-60m,0.381448,-0.142099,38.144762,-14.209851,0.381448,-0.050134,38.144762,-5.013377,5_to_10bps,loss,2025-06-02 07:00:00+00:00,31.0,2501.6,244.0,0.0079175260288515,0.3845896154011929,ETHUSDT|2025-06-02T07:00:00+00:00|2025-06-02T07:04:04+00:00|long,2025-06-02 07:04:04+00:00,,,,fast,0.645,1.29,1.0,0.1,0.3804547883393694,0.9873651771956856,0.0086419020100668,244.0,0.054817,0.079921,13.71769,20.0
ETHUSDT,2025-06,ETHUSDT:2025-06,t3_swing,long,ETHUSDT:long,2025-06-10T22:06:56+00:00,2025-06-10T23:06:56+00:00,BUY,External-NextSecond-Adverse,long:External-NextSecond-Adverse,ETHUSDT:2025-06:long,ETHUSDT:2025-06:External-NextSecond-Adverse,ETHUSDT:2025-06:long:External-NextSecond-Adverse,SL,2813.395985229492,2809.92642017341,39950.40623379793,-0.123323,-32.332303,-49.26805,-0.129169,3600.0,15-60m,0.483544,-0.816667,48.354426,-81.666653,0.157962,-0.582783,15.796222,-58.278271,gt20bps,loss,2025-06-10 22:00:00+00:00,238.0,2806.0,415.0,0.1053854289600385,0.8013976923543263,ETHUSDT|2025-06-10T22:00:00+00:00|2025-06-10T22:06:55+00:00|long,2025-06-10 22:06:55+00:00,,,,fast,0.59,1.18,1.0,0.1,0.8110821439618223,0.98882368574158,0.1204188944368344,415.0,-0.049268,0.079901,-12.332303,20.0
ETHUSDT,2025-06,ETHUSDT:2025-06,t3_swing,long,ETHUSDT:long,2025-06-11T00:58:06+00:00,2025-06-11T01:58:06+00:00,BUY,SL-Reentry,long:SL-Reentry,ETHUSDT:2025-06:long,ETHUSDT:2025-06:SL-Reentry,ETHUSDT:2025-06:long:SL-Reentry,SL,2793.8631809436406,2790.2789137784234,39898.73868889975,-0.128291,-32.829072,-51.186379,-0.130983,3600.0,15-60m,0.189943,-0.557764,18.994276,-55.776359,0.189943,-0.056665,18.994276,-5.666532,5_to_10bps,loss,2025-06-10 22:00:00+00:00,238.0,2806.0,415.0,0.1053854289600385,0.8013976923543263,ETHUSDT|2025-06-10T22:00:00+00:00|2025-06-10T22:06:55+00:00|long,2025-06-10 22:06:55+00:00,,,,fast,0.59,1.18,1.0,0.1,0.8110821439618223,0.98882368574158,0.1204188944368344,415.0,-0.051186,0.079797,-12.829072,20.0
ETHUSDT,2025-06,ETHUSDT:2025-06,t3_swing,long,ETHUSDT:long,2025-06-11T02:22:15+00:00,2025-06-11T04:43:36+00:00,BUY,SL-Reentry,long:SL-Reentry,ETHUSDT:2025-06:long,ETHUSDT:2025-06:SL-Reentry,ETHUSDT:2025-06:long:SL-Reentry,SL,2783.302761222933,2792.871416550679,39846.34514643993,0.343788,14.37878,136.986873,0.057294,8481.0,60m+,0.7447,-0.413276,74.470045,-41.327564,0.07176,-0.129803,7.175962,-12.980334,10_to_20bps,win,2025-06-10 22:00:00+00:00,238.0,2806.0,415.0,0.1053854289600385,0.8013976923543263,ETHUSDT|2025-06-10T22:00:00+00:00|2025-06-10T22:06:55+00:00|long,2025-06-10 22:06:55+00:00,,,,fast,0.59,1.18,1.0,0.1,0.8110821439618223,0.98882368574158,0.1204188944368344,415.0,0.136987,0.079693,34.37878,20.0
ETHUSDT,2025-06,ETHUSDT:2025-06,t3_swing,long,ETHUSDT:long,2025-06-11T05:09:10+00:00,2025-06-11T06:16:41+00:00,BUY,SL-Reentry,long:SL-Reentry,ETHUSDT:2025-06:long,ETHUSDT:2025-06:SL-Reentry,ETHUSDT:2025-06:long:SL-Reentry,SL,2790.265936941404,2787.4357712528267,39869.262819652766,-0.10143,-30.142996,-40.439378,-0.120178,4051.0,60m+,0.438455,-0.120635,43.845509,-12.06349,0.128452,-0.071531,12.84523,-7.153144,5_to_10bps,loss,2025-06-10 22:00:00+00:00,238.0,2806.0,415.0,0.1053854289600385,0.8013976923543263,ETHUSDT|2025-06-10T22:00:00+00:00|2025-06-10T22:06:55+00:00|long,2025-06-10 22:06:55+00:00,,,,fast,0.59,1.18,1.0,0.1,0.8110821439618223,0.98882368574158,0.1204188944368344,415.0,-0.040439,0.079739,-10.142996,20.0
ETHUSDT,2025-06,ETHUSDT:2025-06,t3_swing,long,ETHUSDT:long,2025-06-11T06:17:03+00:00,2025-06-11T08:02:30+00:00,BUY,SL-Reentry,long:SL-Reentry,ETHUSDT:2025-06:long,ETHUSDT:2025-06:SL-Reentry,ETHUSDT:2025-06:long:SL-Reentry,SL,2791.1477084472654,2788.326382981714,39821.19165809432,-0.101081,-30.10812,-40.251737,-0.119894,6327.0,60m+,0.385225,-0.394025,38.522483,-39.402451,0.000796,-0.256085,0.079585,-25.608492,gt20bps,loss,2025-06-10 22:00:00+00:00,238.0,2806.0,415.0,0.1053854289600385,0.8013976923543263,ETHUSDT|2025-06-10T22:00:00+00:00|2025-06-10T22:06:55+00:00|long,2025-06-10 22:06:55+00:00,,,,fast,0.59,1.18,1.0,0.1,0.8110821439618223,0.98882368574158,0.1204188944368344,415.0,-0.040252,0.079642,-10.10812,20.0
ETHUSDT,2025-06,ETHUSDT:2025-06,t3_swing,long,ETHUSDT:long,2025-06-11T08:02:35+00:00,2025-06-11T09:02:35+00:00,BUY,SL-Reentry,long:SL-Reentry,ETHUSDT:2025-06:long,ETHUSDT:2025-06:SL-Reentry,ETHUSDT:2025-06:long:SL-Reentry,SL,2792.1022631327724,2789.343429128917,39773.23401016777,-0.098808,-29.880849,-39.299331,-0.118845,3600.0,15-60m,-0.0316,-0.966374,-3.159957,-96.637384,-0.0316,-0.23933,-3.159957,-23.93301,gt20bps,loss,2025-06-10 22:00:00+00:00,238.0,2806.0,415.0,0.1053854289600385,0.8013976923543263,ETHUSDT|2025-06-10T22:00:00+00:00|2025-06-10T22:06:55+00:00|long,2025-06-10 22:06:55+00:00,,,,fast,0.59,1.18,1.0,0.1,0.8110821439618223,0.98882368574158,0.1204188944368344,415.0,-0.039299,0.079546,-9.880849,20.0
ETHUSDT,2025-06,ETHUSDT:2025-06,t3_swing,long,ETHUSDT:long,2025-06-11T09:05:08+00:00,2025-06-11T10:05:08+00:00,BUY,SL-Reentry,long:SL-Reentry,ETHUSDT:2025-06:long,ETHUSDT:2025-06:SL-Reentry,ETHUSDT:2025-06:long:SL-Reentry,SL,2769.04345430902,2766.3898138040568,39725.69569064475,-0.095832,-29.583239,-38.070083,-0.117521,3600.0,15-60m,0.164918,-0.543273,16.491807,-54.32726,-0.003738,-0.272782,-0.373822,-27.278243,gt20bps,loss,2025-06-10 22:00:00+00:00,238.0,2806.0,415.0,0.1053854289600385,0.8013976923543263,ETHUSDT|2025-06-10T22:00:00+00:00|2025-06-10T22:06:55+00:00|long,2025-06-10 22:06:55+00:00,,,,fast,0.59,1.18,1.0,0.1,0.8110821439618223,0.98882368574158,0.1204188944368344,415.0,-0.03807,0.079451,-9.583239,20.0
ETHUSDT,2025-06,ETHUSDT:2025-06,t3_swing,long,ETHUSDT:long,2025-06-17T19:01:46+00:00,2025-06-17T20:01:46+00:00,BUY,External-NextSecond-Adverse,long:External-NextSecond-Adverse,ETHUSDT:2025-06:long,ETHUSDT:2025-06:External-NextSecond-Adverse,ETHUSDT:2025-06:long:External-NextSecond-Adverse,SL,2504.2815443115232,2534.3973349017083,39678.68710074253,1.202572,100.257208,477.164812,0.397808,3600.0,15-60m,1.576039,-0.095103,157.603908,-9.51028,0.352539,-0.05756,35.253876,-5.755968,5_to_10bps,win,2025-06-17 19:00:00+00:00,403.0,2502.6,105.0,0.016275435140654,0.2021040551024122,ETHUSDT|2025-06-17T19:00:00+00:00|2025-06-17T19:01:45+00:00|long,2025-06-17 19:01:45+00:00,,,,fast,0.56,1.12,1.0,0.1,0.4878256569810817,0.9877135997740432,0.0082129641277555,105.0,0.477165,0.079357,120.257208,20.0
ETHUSDT,2025-06,ETHUSDT:2025-06,t3_swing,long,ETHUSDT:long,2025-06-17T21:15:29+00:00,2025-06-17T22:15:58+00:00,BUY,SL-Reentry,long:SL-Reentry,ETHUSDT:2025-06:long,ETHUSDT:2025-06:SL-Reentry,ETHUSDT:2025-06:long:SL-Reentry,SL,2510.584180736744,2516.003744250738,39837.81007575539,0.215869,1.586862,85.997332,0.006321,3629.0,60m+,0.601683,-0.247126,60.16831,-24.712567,0.175489,-0.247126,17.548942,-24.712567,gt20bps,win,2025-06-17 19:00:00+00:00,403.0,2502.6,105.0,0.016275435140654,0.2021040551024122,ETHUSDT|2025-06-17T19:00:00+00:00|2025-06-17T19:01:45+00:00|long,2025-06-17 19:01:45+00:00,,,,fast,0.56,1.12,1.0,0.1,0.4878256569810817,0.9877135997740432,0.0082129641277555,105.0,0.085997,0.079676,21.586862,20.0
ETHUSDT,2025-06,ETHUSDT:2025-06,t3_swing,long,ETHUSDT:long,2025-06-17T22:55:17+00:00,2025-06-18T00:26:42+00:00,BUY,SL-Reentry,long:SL-Reentry,ETHUSDT:2025-06:long,ETHUSDT:2025-06:SL-Reentry,ETHUSDT:2025-06:long:SL-Reentry,SL,2506.407952518012,2511.211072429548,39840.33876059981,0.191634,-0.83664,76.347477,-0.003334,5485.0,60m+,0.596158,-0.572049,59.615775,-57.20491,-0.03982,-0.572049,-3.981955,-57.20491,gt20bps,loss,2025-06-17 19:00:00+00:00,403.0,2502.6,105.0,0.016275435140654,0.2021040551024122,ETHUSDT|2025-06-17T19:00:00+00:00|2025-06-17T19:01:45+00:00|long,2025-06-17 19:01:45+00:00,,,,fast,0.56,1.12,1.0,0.1,0.4878256569810817,0.9877135997740432,0.0082129641277555,105.0,0.076347,0.079681,19.16336,20.0
